search_query,imp_total_count,clk_total_count,pur_total_count,ad_spend,revenue,acos,roas,conversion_rate
anxiety relief for kids toys,2147,27,2,41.25262523872925,75.70973919436949,0.5448787128010236,1.8352708162507638,0.07407407407407407
anxiety relievers for kids,175,7,2,13.329065649372877,93.45047753892725,0.14263239739808276,7.011029879901899,0.2857142857142857
anxiety sensory toys,1268,12,8,18.319458044649117,237.85198692456078,0.07702041207021523,12.983571148494446,0.6666666666666666
anxiety toys,1276830,13395,322,13975.479088905813,7552.031176573282,1.8505589770680948,0.5403772656758743,0.024038820455393805
apple fidget,1671,25,5,13.720985755739038,63.76468012466673,0.21518159785186802,4.647237542535605,0.2
asd fidget toys,1606,18,0,23.896700472319015,0.0,inf,0.0,0.0
asd sensory items,1477,17,0,10.724629426507029,0.0,inf,0.0,0.0
asd toys,46045,628,24,632.520721104393,648.0078656090004,0.9761003757415004,1.0244848018220913,0.03821656050955414
asmr toys,183055,1697,24,1642.051008269159,496.3975740907844,3.3079351994755117,0.3023033825325704,0.014142604596346494
aspergers toys,1102,23,0,43.77446339492494,0.0,inf,0.0,0.0
ass stretcher toys,210,3,1,3.3183015481823617,27.334227498996427,0.12139730483710186,8.237415166192195,0.3333333333333333
atretchy sensory toys,20,2,1,3.075936513471238,38.099070233658786,0.080735212030287,12.386169242050917,0.5
autism,1262039,12869,478,13756.226958469051,10689.493719035485,1.2868922813409238,0.777065815452723,0.03714352319527547
autism adult sensory toys,190,4,0,5.2840574119171935,0.0,inf,0.0,0.0
autism awareness wooden sign,131,1,1,0.8387691805043407,17.743327275551163,0.047272372733613226,21.1540048060449,1.0
autism bite toys,170,2,1,2.436047125527306,23.166049620683143,0.1051559141681347,9.509688617238316,0.5
autism calming products,33123,392,16,431.603663479078,384.4289126456521,1.1227138471681741,0.8906989100760663,0.04081632653061224
autism chew toys,16457,237,24,256.68147942459274,490.25988858705114,0.5235620645294053,1.9099932324142557,0.10126582278481013
autism chew toys sensory,423179,6158,750,5653.17472623747,14725.863111388357,0.3838942874503258,2.6048837731908048,0.12179278986683988
autism equipment,89645,758,26,861.5796485157799,567.8474184235879,1.5172731627584533,0.6590771026240039,0.03430079155672823
autism fidget,4052,39,2,57.465334505235695,63.526365507214706,0.9045903074481625,1.1054728220789662,0.05128205128205128
autism fidget toy,409,8,0,9.445891173477339,0.0,inf,0.0,0.0
autism fidget toys for kids,477,9,1,4.567216691464851,11.044541731358432,0.41352704372489185,2.4182215290985236,0.1111111111111111
autism fidgets,11403,120,16,178.65998038799995,711.3168897594367,0.251167915397625,3.9814002453971704,0.13333333333333333
autism friendly toys,15670,169,14,236.41222163398947,614.5168932650523,0.3847123231680151,2.599344860505731,0.08284023668639054
autism gifts,103122,911,53,1330.0414411036327,1776.5569135236622,0.7486624441800737,1.3357154586473057,0.05817782656421515
autism learning materials,377017,6408,193,3883.407473329894,2813.179875601148,1.3804334045650206,0.7244101719742891,0.03011860174781523
autism learning materials for teens,2057,37,2,16.308429900085812,22.22245909547633,0.7338715229497533,1.3626363317390475,0.05405405405405406
autism sensory,313452,3011,80,3060.4915479090932,1745.1349171597315,1.753727759278435,0.5702139312725747,0.02656924609764198
autism sensory adult,416,8,0,14.8974323254602,0.0,inf,0.0,0.0
autism sensory calming,542,3,1,2.458584466595414,18.87217701210823,0.1302756149975706,7.676033615490115,0.3333333333333333
autism sensory chew toys,2432,40,8,17.60260160119269,87.69089625773879,0.20073465265374393,4.9817009010643725,0.2
autism sensory equipment,6636,88,3,107.38423726955322,71.57449771911556,1.5003142277151305,0.6665270391542759,0.03409090909090909
autism sensory fidget,151,4,0,2.651878091140123,0.0,inf,0.0,0.0
autism sensory items,2100,23,2,42.65438231876918,109.35522930539125,0.39005343036362966,2.563751327780258,0.08695652173913043
autism sensory products,3035341,37022,929,46947.269722727426,26303.571357380657,1.7848249230062916,0.5602790431207325,0.02509318783426071
autism sensory products for adults,39148,361,14,207.05705757932478,212.54098325449348,0.9741982671238406,1.0264850942019583,0.038781163434903045
autism sensory toys,10939543,142224,7803,188047.6612048435,266680.5884034345,0.7051419165176166,1.4181542418277397,0.05486415794802565
autism sensory toys adults,19668,213,14,279.75862359544703,342.8087450912562,0.8160778498254906,1.2253732903225338,0.06572769953051644
autism sensory toys boys,228,4,2,2.556897925084885,22.90559330565291,0.11162766626323814,8.958352651051754,0.5
autism sensory toys bunmo,431,8,4,12.761069714873548,119.58519219292303,0.10671111933563242,9.371094654670024,0.5
autism sensory toys classroom,76,3,1,5.98130692681097,72.82247783314745,0.08213544917429863,12.175011034247982,0.3333333333333333
autism sensory toys for autistic adults,58579,562,33,441.2740574529196,620.2192265819638,0.7114807773451117,1.4055193504053571,0.05871886120996441
autism sensory toys for kids 5-7,131092,1671,121,1884.4031038524663,2990.3643785449367,0.6301583570793425,1.586902702734594,0.07241172950329144
autism sensory toys for kids 8-12,142954,1716,108,2836.792013747795,5970.300850705821,0.47515059704443935,2.104595903320465,0.06293706293706294
autism sensory toys for teens,5663,70,12,79.33514987333123,361.22581596865757,0.2196275746809162,4.553162331518892,0.17142857142857143
autism sensory toys for toddlers,1244,24,5,35.587244516767846,127.59093001398439,0.2789167263916594,3.585299501170051,0.20833333333333334
autism sensory toys teenagers,196,1,1,0.4180212895168359,11.533785497873499,0.03624319956304954,27.591382992011397,1.0
autism sensory toysyage 6,50,2,2,3.288460745095821,70.79498875299464,0.046450473444798995,21.52830586728861,1.0
autism sesory silicon,60,1,1,0.9607516823873954,18.598987488881548,0.0516561282145994,19.358787322302124,1.0
autism silicone ropes,17,1,1,1.1049023437409684,26.209481634793576,0.042156588945055286,23.72108429605982,1.0
autism soothing toys,364,7,1,5.946145394028711,18.983310746107218,0.313230156401883,3.1925406272727206,0.14285714285714285
autism stem toys,2619,4,2,2.7413255751920946,38.24981151151804,0.07166899565940628,13.953034932320191,0.5
autism stress toys,398,5,4,2.524824624198409,52.10038830589872,0.0484607640421857,20.635250387911494,0.8
autism support classroom,722,19,1,21.451698102267073,23.205995317685925,0.9244032763342905,1.081778943888524,0.05263157894736842
autism tactile adult,60,4,1,4.467990074076535,25.61344770474899,0.1744392291728897,5.732655462544397,0.25
autism teenager toys,12820,139,5,154.61574745961113,98.63364698584903,1.5675760978583084,0.6379275630486099,0.03597122302158273
autism toddler toys,3327,58,4,75.66656366588768,96.6069430415631,0.7832414657126013,1.276745478599233,0.06896551724137931
autism toy,19296,220,5,253.58420318994837,115.93019712047398,2.187386974995179,0.4571664782827026,0.022727272727272728
autism toys,5559603,64436,3007,65160.680307762865,71811.99308873553,0.9073788026917193,1.1020755576761567,0.04666645974300081
autism toys bunmo,14,1,1,0.5881378468421288,10.870007432748634,0.05410648065154173,18.4820743829234,1.0
autism toys calming,38,1,1,1.9407029551893182,76.0799381742539,0.025508734651496716,39.20225811519527,1.0
autism toys for babies,277,2,1,3.857455652504834,74.5760975627766,0.05172509394525114,19.33297600306842,0.5
autism toys for boys,9343,118,11,148.81948070486845,426.8642763740583,0.34863418876134517,2.868336015905033,0.09322033898305085
autism toys for kids 5-7,1359007,18660,1284,15332.597869262156,20329.40577717063,0.754207871952669,1.3258944081436952,0.06881028938906752
autism toys for kids 5-7 non verbal,68579,962,74,1362.9434996139153,2597.6856512902345,0.5246760703847905,1.9059378851919306,0.07692307692307693
autism toys for kids 8,380,9,1,7.246005979705407,16.728918924901578,0.4331425128087312,2.3087089593571806,0.1111111111111111
autism toys for kids 8-12,199014,2627,135,3055.8119220666185,3219.420507047284,0.9491807346624873,1.0535401356998497,0.051389417586600684
autism toys for kids 8-12 non verbal,24144,266,21,200.991764091728,431.9942182894615,0.465264940090128,2.1493130340022755,0.07894736842105263
autism toys for teenagers,3935,38,2,65.00506693224166,63.99448844661603,1.015791648783452,0.9844538505486193,0.05263157894736842
autism toys for toddlers,1466,14,2,10.521487381467931,34.08786432008291,0.30865786376851967,3.2398332178892995,0.14285714285714285
autism toys for toddlers 3-4,1018832,15594,1206,12589.9508993619,19150.160269341584,0.657433187100672,1.5210671131618294,0.07733743747595229
autism toys toddler,9223,128,3,173.46242016100288,81.33905635640937,2.1325846147136223,0.4689145711267765,0.0234375
autism weighted toys for kids 8-12,486,2,1,0.7384812705187203,11.35299998908164,0.06504723608111772,15.373443365878627,0.5
autism+equipment,3712,39,1,71.37577586925576,50.93461382704724,1.4013216260285826,0.7136120512419774,0.02564102564102564
autismo juguetes sensoriales,4792,66,2,104.54903847189269,67.3087926741041,1.5532746067530658,0.6438011641034806,0.030303030303030304
autistic adult items,1839,19,0,25.836144984740347,0.0,inf,0.0,0.0
autistic kids toys non verbal,1229,18,1,23.153630820386038,23.666664113246636,0.97832253458258,1.0221577901470593,0.05555555555555555
autistic restrainer,120,1,1,1.938155130762114,70.83113806039981,0.027363038119045776,36.545649487070655,1.0
autistic safety,1792,23,0,16.972529382000175,0.0,inf,0.0,0.0
autistic sensory toys,10390,101,6,32.040665146503976,65.51432508023255,0.489063500345385,2.044724252154951,0.0594059405940594
autistic sensory toys for boys,4067,48,2,29.96178150084699,24.388561823463263,1.2285177665548919,0.8139890420993099,0.041666666666666664
autistic sensory toys for boys 5-7,3888,43,4,28.762695924142175,64.82868674715462,0.44367235196854565,2.253915520232587,0.09302325581395349
autistic toddler toys,2268,43,2,57.548405239448705,51.35645321952613,1.1205681395764369,0.8924044550989908,0.046511627906976744
autistic toddler toys age 2-4,717751,11200,875,8668.172149230628,14202.713640309996,0.610318025748876,1.6384900294776223,0.078125
autistic toy,1255,19,1,17.60363462951874,18.691240521407956,0.9418120006190317,1.0617830303104256,0.05263157894736842
autistic toys,283222,3317,237,5260.265961604658,9176.483925173226,0.5732332780722829,1.7444904862517476,0.07145010551703346
autistic toys for boys,2852,52,3,73.96457269529803,71.73708639555007,1.0310506937439006,0.9698844160308443,0.057692307692307696
autistic toys for boys 10-17 years old,22674,302,31,555.5851773246479,1486.9335727838386,0.3736449209929942,2.676337730866011,0.10264900662251655
autistic toys for boys 3-4,15214,236,18,97.18420787228564,224.9595504014225,0.43200747733922884,2.314774749175838,0.07627118644067797
autistic toys for boys 5-7,2045222,28611,2145,38267.21408631695,80461.30694454226,0.4755977194441115,2.102617315257148,0.07497116493656286
autistic toys for boys 5-7 spin,96,2,2,1.8504654432132597,38.05336471066854,0.04862816881721022,20.56421256080869,1.0
autistic toys for boys 7-10 years old,10790,129,11,123.3909228152777,188.7069150471965,0.6538760001689236,1.5293419543486197,0.08527131782945736
autistic toys for girls 5-7,126532,1716,159,1533.5075994202944,2720.643336428839,0.5636562422155642,1.7741309775427998,0.09265734265734266
"b unmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | christmas stocking stuffers, christmas stocking stuffers",17,1,1,1.3070936283481864,27.450544230434332,0.047616310167687526,21.00120728545239,1.0
b082d7wvt8,1132,79,27,97.40235521262704,644.4629733347327,0.1511372402182002,6.616502978063367,0.34177215189873417
baby cord toy,2213,62,11,43.336024114572446,191.11487207546364,0.22675380332233264,4.410069358697771,0.1774193548387097
baby noodle toys,19,1,1,1.1991934897134504,22.5032669538065,0.053289750869288915,18.765334490919976,1.0
baby rope toy,779,19,2,24.449206800377866,46.21302998005534,0.5290543989634455,1.8901647958305587,0.10526315789473684
baby sensory worms,60,1,1,1.7961349908540207,51.32396256465509,0.03499603111492705,28.574668845046958,1.0
baby silicone worm,19,1,1,1.2465625223404075,24.904450733015047,0.050053805068982264,19.97850110739509,1.0
baby squishy toys,1121,10,1,15.275311966318728,33.32813702757602,0.4583308078000216,2.181830204257879,0.1
baby squishy tube,76,2,1,2.616351525742166,25.33695472078037,0.1032622726201716,9.684078944091112,0.5
baby stretch toys,94,3,1,5.811890576681995,74.66124284220531,0.0778434748128327,12.846291900565921,0.3333333333333333
baby stretchy toys,60,1,1,0.9655939782787912,19.066476994042997,0.050643544613956475,19.745853249861533,1.0
baby string toy,3639,94,14,180.01362870735147,634.2649160832544,0.2838145767528511,3.5234272018058155,0.14893617021276595
baby string toys,368,4,1,7.000508658677429,48.216699896595486,0.145188465276358,6.887599494192301,0.25
baby textured grass,37,2,1,2.9382558309084637,23.08986241814031,0.12725306793513216,7.858356707830059,0.5
baby toy for calm with baby move,73,1,1,1.8914648283707716,51.62434011701068,0.03663901221949987,27.293312221659296,1.0
baby toy stretchy,57,2,2,2.027074712610614,36.489414940675786,0.055552403783568925,18.0010212320601,1.0
baby toys,12502857,129882,16735,266900.37944646936,865680.0737398887,0.30831295248995766,3.2434576358986145,0.12884772331808872
baby toys quiet,797,10,4,9.175016401335064,73.71345523842419,0.12446867904453428,8.034149696745837,0.4
baby toys with cords,95,3,2,2.184093004051812,37.054502939793096,0.05894271494076092,16.965625031100586,0.6666666666666666
ball on string for baby,132,3,2,5.544929497615246,98.34789564658296,0.05638076403323533,17.736545737665423,0.6666666666666666
beads for individuals with disabilities,299,2,2,3.603781281625326,105.37494262725026,0.034199603736660804,29.24010487665488,1.0
beats toy for autisam,20,1,1,1.2691043721153346,23.94442469454583,0.053002082459906286,18.86718320466852,1.0
belt fidget,95,1,1,1.5537646799424791,34.17948870282129,0.04545897960767992,21.997854079220428,1.0
bendy fidget,1383,22,0,35.8484346188855,0.0,inf,0.0,0.0
bendy fidget for sensory kids,57,1,1,0.5944437169825713,12.836220909817259,0.046309869638339995,21.59366907766242,1.0
best distracting toys for toddlers,114,3,1,4.124767204124828,27.456639507821105,0.15022840660998865,6.656530695929716,0.3333333333333333
best fidget toys for autism,418,7,0,10.76904555752979,0.0,inf,0.0,0.0
best gifts for autistic teenager,579254,6032,322,4601.167317297338,5637.670609699963,0.8161468868686197,1.2252696372301135,0.05338196286472149
best rated unique products to sell at my boutique,299,5,1,5.007288669199241,18.846090670283363,0.2656937588173003,3.76373161511721,0.2
best sensory toys,3751,42,4,72.71992551309819,151.82815994237149,0.4789620419604641,2.087848122383245,0.09523809523809523
best toys for toddlers with autism,40061,588,32,531.9010351863215,568.801166359044,0.9351264846924907,1.0693740540658974,0.05442176870748299
bite sticks for kids sensory,1586,12,2,5.858730158409344,21.602870106407018,0.27120147135781514,3.6872956293095838,0.16666666666666666
bite toys for autism,1865,16,4,24.87502478199848,132.5101677818193,0.18772163071256326,5.327036613757026,0.25
black friday sensory,1794,32,1,32.39049251485365,17.68028946478051,1.8320114373339957,0.5458481206073873,0.03125
black monkey noodles,28,1,1,1.7019586692344588,33.68315605034608,0.05052847977459559,19.79081904820683,1.0
blow and breathe sensory whistles,86,3,3,3.7026017503572524,76.5271010091817,0.04838288268508976,20.668466707713797,1.0
boys autism toys,6658,79,9,89.79880484416876,221.74206001665019,0.40496965184424616,2.469320837860231,0.11392405063291139
boys sensory toys,3422,60,6,86.0987600330258,163.03299116260325,0.5281063631296194,1.8935579455507487,0.1
boys sensory toys autism,3962,69,7,110.48929028000633,308.7705678292564,0.3578362117114238,2.7945746329509205,0.10144927536231885
boys toys for autism,1575,19,5,31.190701603494876,158.16951382530505,0.19719793561447221,5.071047000994116,0.2631578947368421
braille toys for blind children,1581,18,2,30.137586344940686,74.75073889298403,0.40317442732020065,2.4803160424800486,0.1111111111111111
bubble tubes sensory room,7170,113,2,137.6382236663874,53.200675020556496,2.5871518286789525,0.3865254404147663,0.017699115044247787
bulk sensory,1292,16,0,28.92444456751226,0.0,inf,0.0,0.0
bumno sensory toys,228,4,1,3.2713854763719135,16.2137517215709,0.20176610155067545,4.956233937784839,0.25
bumpy fidget toys,120,2,0,3.9744463059860573,0.0,inf,0.0,0.0
bumpy monkey noodles and stress balls,24,2,2,1.6232771072951875,34.47320646726715,0.047088080095958426,21.236797039975944,1.0
bumpy sensory toy,60,1,1,0.4652001797885551,11.754807901205178,0.0395753111151106,25.2682789300469,1.0
bumpy toys,245,8,0,4.264698432458052,0.0,inf,0.0,0.0
bungee bands fidget toy,286,10,4,14.496060645453177,95.63066316069256,0.15158381387667244,6.597010422323805,0.4
bungee fidget,60,1,1,1.7694095586622904,49.57928994434028,0.03568848123175425,28.020245342080795,1.0
bunmo,87764,1450,124,1459.7785557801224,3573.8991889906288,0.40845543720901806,2.448247492634728,0.08551724137931034
bunmo 6 pack sensory strings,44,2,1,1.6837595261472431,19.242435065385724,0.08750241434755188,11.428256093918598,0.5
bunmo 6 pk textured noodle sensory toy,139,1,1,1.8781432566368796,54.26194068431782,0.034612533811929795,28.891268273902938,1.0
bunmo 6 pk textured noodle sensory toys,592,10,6,11.998235878753528,151.2721382631757,0.07931557004819749,12.607865005475375,0.6
bunmo 6pk,40,2,1,1.1694414854591455,11.236269281321668,0.10407738157389458,9.60823557316345,0.5
bunmo 6pk sensory noodle toys,220,2,1,2.116071755851737,16.238919901086707,0.13030865160620256,7.674087542721538,0.5
bunmo 6pk sensory strings party favors,108,2,1,2.488237574882668,24.920102862547022,0.09984860771270312,10.015162183105495,0.5
bunmo 6pk texted noodle sensory toys,60,1,1,1.1429890945409293,26.195334879696862,0.043633307220165465,22.918271928235647,1.0
bunmo 6pk textured noodle,254,6,5,7.094011744064647,172.93136775811536,0.041022122452574764,24.3770907065106,0.8333333333333334
bunmo 6pk textured noodle sensory toys,3181,69,29,92.17044787246628,909.5769518783071,0.10133331510009262,9.868422828289429,0.42028985507246375
bunmo 6pk textured noodle sensory toys calming,60,1,1,1.4563884516112287,22.531895217032954,0.06463674882130083,15.471075173732334,1.0
"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | autism sensory toys, toddler toys, stocking stuffers for kids",480,5,2,6.992831402847443,49.423407251668394,0.1414882500358448,7.067724703264467,0.4
"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | autism sensory toys, toddler toys, stocking stuffers for kids bunmo",60,1,1,1.5361878821609374,36.19765209960183,0.04243888189029352,23.563297510642396,1.0
"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | christmas stocking stuffers, christmas stocking stuffe",15,1,1,0.8912759223840819,17.423898709655692,0.05115249676527155,19.549387874238036,1.0
"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism traits | christmas stocking stuffers, christmas stocking stuffers",342,7,0,9.461503951604051,0.0,inf,0.0,0.0
"bunmo 6pk textured noodle sensory toys | calming & exciting stretchy strings for stress relief, focus, stimulation & autism | christmas stocking stuffers",67,4,2,4.589411107400664,46.65748176965221,0.09836388363303804,10.16633303876713,0.5
bunmo 6pk textured noodle sensory toys/ calming & exciting stretchy,48,2,2,3.7928313194640793,107.41338068251036,0.0353106037196132,28.320104859735153,1.0
bunmo autism sensory toys,57,3,1,4.148204322532762,23.76086438747765,0.17458137275169716,5.727987953344115,0.3333333333333333
bunmo fidget pad,398,13,6,12.02254701163805,117.5148853821951,0.10230658841675225,9.774541556663367,0.46153846153846156
bunmo fidget toys,5603,93,19,106.37058051956578,535.3790272990021,0.19868275575942426,5.033149435529541,0.20430107526881722
bunmo fidget toys magnetic fidget rings,413,15,3,16.319201530006964,76.41362740962896,0.2135640210158452,4.682436654092619,0.2
bunmo glitter stretchy strings,298,11,1,7.064553470572967,18.943963409931037,0.3729184499411301,2.6815514227248953,0.09090909090909091
bunmo juguetes sensoriales,76,3,0,5.931986385772365,0.0,inf,0.0,0.0
bunmo monkey noodles,113,2,1,2.7709907305689,23.98178806756644,0.11554562665477207,8.654589783720729,0.5
bunmo noodle,38,2,1,2.728032326300863,26.479631935717514,0.10302380081881383,9.70649492692162,0.5
bunmo noodle sensory,60,1,1,1.8061627170270145,46.751231401303535,0.038633479009852444,25.884285485782335,1.0
bunmo pop tubes,1611,33,6,22.269666086061868,98.2716704641189,0.22661328520097765,4.412803949746922,0.18181818181818182
bunmo pop tubes sensory ribons,50,2,2,0.896352988476873,24.861025856337314,0.036054545522641174,27.735753855835735,1.0
bunmo sensory,422,6,3,3.8264024160801346,85.00965779953577,0.04501138476646156,22.216601537331734,0.5
bunmo sensory stretchy strings,54,1,1,0.9005279379378069,19.22092778905471,0.04685142922448361,21.344066052043086,1.0
bunmo sensory toy,114,4,1,7.161227341395142,45.2519909482107,0.1582522048497471,6.319027282744352,0.25
bunmo sensory toys,217112,4444,838,4667.293749999202,20907.118894896812,0.22323945128271286,4.4794949739129635,0.18856885688568856
bunmo sensory toys - calming textured silly stretchy strings,12522,282,121,354.37024245304667,3466.9589795507977,0.10221356657036687,9.783437106771634,0.42907801418439717
bunmo sensory toys - calming textured silly stretchy strings 6 pack,117,2,1,1.601127199344748,19.252951522565343,0.08316268793738733,12.024623359371137,0.5
bunmo sensory toys - calming textured silly stretchy strings and,147,3,3,2.411479547510229,47.83440933079109,0.05041307254018825,19.836124830574864,1.0
bunmo sensory toys - calming textured silly stretchy strings and sensory toys for autistic children. stocking stuffers for kids 8-12 ideal autistic toys - 6 pack,565,14,5,17.93265394044617,181.01650468428147,0.09906640265606315,10.094239552351375,0.35714285714285715
bunmo sensory toys - calming textured silly stretchy strings and sensory toys for autistic children. stress toys for adults and kids. ideal autistic toys - 6 pack,666,12,6,22.532364176543158,375.1924797344711,0.06005547923692294,16.65127000410624,0.5
bunmo sensory toys - calming textured silly stretchy strings and sensory toys for autistic children. stress toys for adults and kids. ideal autistic toys - 6 pack bunmo,42,1,1,0.7661660751900954,19.147464826142585,0.04001396958536395,24.991272057291052,1.0
bunmo sensory toys calming,87,1,1,1.1824023581444802,24.513518604972802,0.04823470580451958,20.731960179309322,1.0
bunmo sensory toys calming texture,76,1,0,1.9866698241894785,0.0,inf,0.0,0.0
bunmo sensory toys calming textured silly stretchy,92,2,2,3.0290444962273866,57.78342617809149,0.05242064544410565,19.07645339976338,1.0
bunmo sensory toys x5 minute crafts,60,1,1,1.160441517001856,23.134120112752093,0.05016147194473121,19.93561913617323,1.0
bunmo sensory toys- calming textured silly stretchy,60,1,1,0.4377786991465769,11.46591523133989,0.038180877000554864,26.191121801247977,1.0
bunmo sensory tubes,98,3,1,4.673513836458358,33.13497152748028,0.14104475184420814,7.08994831019701,0.3333333333333333
bunmo shorties,130,5,2,2.486621196103415,23.06015385425415,0.10783194300521466,9.273689893092632,0.4
bunmo shorties sensory toys monkey noodles,971,45,14,39.12086976587769,233.87235571695314,0.1672744503981659,5.978199286380465,0.3111111111111111
bunmo silly stretchy strings,36,1,1,0.5075870069858923,12.605924010207588,0.04026575176677855,24.835001362747555,1.0
bunmo six pack,19,1,1,0.6743116467941535,17.213817751580276,0.03917269582642408,25.527985217842637,1.0
bunmo stacking rocks,291,10,5,15.177538816569353,171.03474699653924,0.0887395051771349,11.268938202933155,0.5
bunmo store,115,2,2,1.3946219201740957,34.66972392947605,0.04022593093071601,24.859586263457054,1.0
"bunmo store, strechy strings 6 pack",35,1,1,0.38751399406074016,11.899189821608573,0.03256641837556254,30.706477711727377,1.0
bunmo strcthy strigs,38,1,1,1.377000923815669,25.222411664001314,0.054594340230398886,18.316917024361917,1.0
bunmo stretch,19,1,1,1.938830177159164,82.13115551527117,0.023606512839073168,42.36119103304466,1.0
bunmo stretchy sensory,27,2,2,3.3158640022216086,74.09632738492789,0.04475072003226028,22.34600916541927,1.0
bunmo stretchy string calming noodle,229,7,4,5.3359395746439215,66.50424753954928,0.08023456804726198,12.463455893611249,0.5714285714285714
bunmo stretchy strings,2178,66,20,91.61017738636923,602.748088798898,0.15198750371638958,6.579488283892151,0.30303030303030304
bunmo stretchy worms,110,4,1,5.075252920128501,26.945639619700053,0.18835154747701613,5.309221046469111,0.25
bunmo super sensors,29,1,1,1.5208096885027491,32.41681620095922,0.04691422128178486,21.31549821521315,1.0
bunmo super sensory stretch strings,48,1,1,1.7088542812200993,36.82726453175548,0.046401879231257735,21.550851313934913,1.0
bunmo super sensory stretchy strings,180,3,1,4.278867523760773,26.444662358880038,0.16180458141958248,6.180294718644935,0.3333333333333333
bunmo super sensory stretchy strings 6pk,523,7,5,4.782573382642004,79.73244470146946,0.05998277615277813,16.67145244249727,0.7142857142857143
bunmo super sensory textured stretchy strings,503,12,5,17.731631931564166,280.98366350686905,0.06310556176206554,15.846463799346559,0.4166666666666667
